日期,时间,功率(KW)
3月3日,8:30,1249.6
3月3日,8:15,1041.6
3月3日,8:00,984
3月3日,7:45,1331.2
3月3日,7:30,1619.2
3月3日,7:15,1806.4
3月3日,7:00,1524.8
3月3日,6:45,1496
3月3日,6:30,1886.4
3月3日,6:15,1945.6
3月3日,6:00,1403.2
3月3日,5:45,1792
3月3日,5:30,1804.8
3月3日,5:15,1696
3月3日,5:00,2116.8
3月3日,4:45,1838.4
3月3日,4:30,1854.4
3月3日,4:15,1654.4
3月3日,4:00,1857.6
3月3日,3:45,1755.2
3月3日,3:30,1862.4
3月3日,3:15,2092.8
3月3日,3:00,1588.8
3月3日,2:45,1705.6
3月3日,2:30,1721.6
3月3日,2:15,1856
3月3日,2:00,1723.2
3月3日,1:45,2065.6
3月3日,1:30,2083.2
3月3日,1:15,1715.2
3月3日,1:00,1638.4
3月3日,0:45,1568
3月3日,0:30,1779.2
3月3日,0:15,1785.6
3月3日,0:00,1732.8
3月2日,23:45,1524.8
3月2日,23:30,1316.8
3月2日,23:15,1507.2
3月2日,23:00,1848
3月2日,22:45,1664
3月2日,22:30,1628.8
3月2日,22:15,1716.8
3月2日,22:00,1971.2
3月2日,21:45,1971.2
3月2日,21:30,1662.4
3月2日,21:15,1830.4
3月2日,21:00,1870.4
3月2日,20:45,1761.6
3月2日,20:30,1256
3月2日,20:15,1164.8
3月2日,20:00,1056
3月2日,19:45,1412.8
3月2日,19:30,953.6
3月2日,19:15,1040
3月2日,19:00,1304
3月2日,18:45,1337.6
3月2日,18:30,1144
3月2日,18:15,1073.6
3月2日,18:00,1056
3月2日,17:45,1204.8
3月2日,17:30,1150.4
3月2日,17:15,1073.6
3月2日,17:00,878.4
3月2日,16:45,856
3月2日,16:30,924.8
3月2日,16:15,790.4
3月2日,16:00,828.8
3月2日,15:45,742.4
3月2日,15:30,777.6
3月2日,15:15,1121.6
3月2日,15:00,1016
3月2日,14:45,916.8
3月2日,14:30,801.6
3月2日,14:15,726.4
3月2日,14:00,622.4
3月2日,13:45,344
3月2日,13:30,425.6
3月2日,13:15,360
3月2日,13:00,281.6
3月2日,12:45,713.6
3月2日,12:30,689.6
3月2日,12:15,585.6
3月2日,12:00,705.6
3月2日,11:45,1084.8
3月2日,11:30,1001.6
3月2日,11:15,1016
3月2日,11:00,512
3月2日,10:45,854.4
3月2日,10:30,1067.2
3月2日,10:15,1456
3月2日,10:00,1132.8
3月2日,9:45,862.4
3月2日,9:30,1155.2
3月2日,9:15,1302.4
3月2日,9:00,1449.6
3月2日,8:45,1313.6
3月2日,8:30,1440
3月2日,8:15,1134.4
3月2日,8:00,1606.4
3月2日,7:45,1667.2
3月2日,7:30,1667.2
3月2日,7:15,1848
3月2日,7:00,1908.8
3月2日,6:45,2289.6
3月2日,6:30,2121.6
3月2日,6:15,2144
3月2日,6:00,2408
3月2日,5:45,2019.2
3月2日,5:30,1934.4
3月2日,5:15,1868.8
3月2日,5:00,2096
3月2日,4:45,2340.8
3月2日,4:30,2403.2
3月2日,4:15,2336
3月2日,4:00,2140.8
3月2日,3:45,1782.4
3月2日,3:30,1614.4
3月2日,3:15,1835.2
3月2日,3:00,2280
3月2日,2:45,2286.4
3月2日,2:30,2043.2
3月2日,2:15,2097.6
3月2日,2:00,2060.8
3月2日,1:45,2150.4
3月2日,1:30,1852.8
3月2日,1:15,2088
3月2日,1:00,2265.6
3月2日,0:45,2299.2
3月2日,0:30,1976
3月2日,0:15,1932.8
3月2日,0:00,1443.2
3月1日,23:45,2246.4
3月1日,23:30,1814.4
3月1日,23:15,1916.8
3月1日,23:00,2539.2
3月1日,22:45,2587.2
3月1日,22:30,2390.4
3月1日,22:15,2443.2
3月1日,22:00,2462.4
3月1日,21:45,2176
3月1日,21:30,2288
3月1日,21:15,1838.4
3月1日,21:00,2160
3月1日,20:45,2603.2
3月1日,20:30,2710.4
3月1日,20:15,2168
3月1日,20:00,1598.4
3月1日,19:45,1484.8
3月1日,19:30,1476.8
3月1日,19:15,1329.6
3月1日,19:00,1193.6
3月1日,18:45,1160
3月1日,18:30,1428.8
3月1日,18:15,1139.2
3月1日,18:00,1057.6
3月1日,17:45,1073.6
3月1日,17:30,1195.2
3月1日,17:15,1092.8
3月1日,17:00,1206.4
3月1日,16:45,1214.4
3月1日,16:30,1105.6
3月1日,16:15,1009.6
3月1日,16:00,1097.6
3月1日,15:45,1364.8
3月1日,15:30,1337.6
3月1日,15:15,1251.2
3月1日,15:00,1187.2
3月1日,14:45,1017.6
3月1日,14:30,932.8
3月1日,14:15,995.2
3月1日,14:00,1204.8
3月1日,13:45,862.4
3月1日,13:30,467.2
3月1日,13:15,595.2
3月1日,13:00,774.4
3月1日,12:45,1004.8
3月1日,12:30,971.2
3月1日,12:15,947.2
3月1日,12:00,801.6
3月1日,11:45,1022.4
3月1日,11:30,966.4
3月1日,11:15,1057.6
3月1日,11:00,1086.4
3月1日,10:45,982.4
3月1日,10:30,889.6
3月1日,10:15,918.4
3月1日,10:00,1211.2
3月1日,9:45,1076.8
3月1日,9:30,1241.6
3月1日,9:15,1164.8
3月1日,9:00,1230.4
3月1日,8:45,982.4
3月1日,8:30,1176
3月1日,8:15,1001.6
3月1日,8:00,993.6
3月1日,7:45,1040
3月1日,7:30,1680
3月1日,7:15,1817.6
3月1日,7:00,1528
3月1日,6:45,1337.6
3月1日,6:30,1614.4
3月1日,6:15,1604.8
3月1日,6:00,1259.2
3月1日,5:45,1216
3月1日,5:30,1182.4
3月1日,5:15,1139.2
3月1日,5:00,1265.6
3月1日,4:45,1542.4
3月1日,4:30,1523.2
3月1日,4:15,1345.6
3月1日,4:00,1420.8
3月1日,3:45,1664
3月1日,3:30,1342.4
3月1日,3:15,1321.6
3月1日,3:00,1480
3月1日,2:45,1531.2
3月1日,2:30,1251.2
3月1日,2:15,1004.8
3月1日,2:00,1001.6
3月1日,1:45,785.6
3月1日,1:30,969.6
3月1日,1:15,1392
3月1日,1:00,1192
3月1日,0:45,1318.4
3月1日,0:30,1580.8
3月1日,0:15,1353.6
3月1日,0:00,1185.6
2月28日,23:45,1110.4
2月28日,23:30,1110.4
2月28日,23:15,1849.6
2月28日,23:00,1523.2
2月28日,22:45,1665.6
2月28日,22:30,1793.6
2月28日,22:15,1790.4
2月28日,22:00,1889.6
2月28日,21:45,1918.4
2月28日,21:30,1840
2月28日,21:15,1817.6
2月28日,21:00,1724.8
2月28日,20:45,1904
2月28日,20:30,2206.4
2月28日,20:15,1851.2
2月28日,20:00,2272
2月28日,19:45,2126.4
2月28日,19:30,2406.4
2月28日,19:15,2739.2
2月28日,19:00,3156.8
2月28日,18:45,2872
2月28日,18:30,3024
2月28日,18:15,2595.2
2月28日,18:00,1950.4
2月28日,17:45,2075.2
2月28日,17:30,2304
2月28日,17:15,2419.2
2月28日,17:00,2472
2月28日,16:45,2816
2月28日,16:30,2724.8
2月28日,16:15,2715.2
2月28日,16:00,2704
2月28日,15:45,2787.2
2月28日,15:30,2715.2
2月28日,15:15,2851.2
2月28日,15:00,2961.6
2月28日,14:45,2984
2月28日,14:30,2928
2月28日,14:15,2622.4
2月28日,14:00,2806.4
2月28日,13:45,2596.8
2月28日,13:30,2356.8
2月28日,13:15,2083.2
